,user_id,name,username,location,number_tweet,number_following,number_follower,avatar_url
0,192866692,Indochina Pioneer,vietnamwanderer,"Hanoi, Vietnam",422,1779,664,https://pbs.twimg.com/profile_images/512524306551558147/VzsWkeui_400x400.jpeg
1,1077378994373152768,🇻🇳SelfQuarantiningWeeabooSheep🐑♈️,Bat2leShe2p,"Hanoi, Vietnam",9134,536,142,https://pbs.twimg.com/profile_images/1221307316848381953/xW4OupcI_400x400.jpg
2,2439868644,Day Noi Mi,daynoimi,Ha Noi,6146,30,281,https://pbs.twimg.com/profile_images/454940128813649921/A0PLuaCr_400x400.jpeg
3,2601381283,Trường Cao đẳng Y Dược Pasteur,yduocpasteur,Hanoi,1104,38,34,https://pbs.twimg.com/profile_images/1054951703345332225/PeLoiwVW_400x400.jpg
4,2302446330,HSCV,HSCVietnam,"Hanoi, Vietnam",508,183,194,https://pbs.twimg.com/profile_images/1063350751739568129/V6XiI6Hv_400x400.jpg
5,1070228778020876288,linkvaobong88ag,linkvaobong88ag,,13303,2,45,https://pbs.twimg.com/profile_images/1070228910783123456/gPKBlIvK_400x400.jpg
6,730752757141897221,ProletarianRevolutionary,slavakommunizm,Soviet Union,131,227,36,https://pbs.twimg.com/profile_images/1239251591602921472/HhkN1eT3_400x400.jpg
7,22898078,UK in Vietnam🇬🇧🇻🇳,UKinVietnam,"Hanoi, Vietnam",5189,363,10751,https://pbs.twimg.com/profile_images/1195020605273198592/ODHevndq_400x400.jpg
8,36110921,Eureka! Uni,Eureka_vn,"Hà Nội, Việt Nam",451,1599,265,https://pbs.twimg.com/profile_images/1230898319720714240/2AOrCglV_400x400.jpg
9,2836130972,Thuoc Kich Duc,thuockichduc,Ha Noi,10796,4,151,https://pbs.twimg.com/profile_images/517166821258969088/bFzyNpUD_400x400.jpeg
10,1242343995407085568,Tom,DoanCongDinh2,,1,40,1,https://pbs.twimg.com/profile_images/1242345028824924161/bvU6DIgR_400x400.jpg
11,762474136413188097,thuank51cc,thuank51cc,,44,3,0,https://pbs.twimg.com/profile_images/762489845931311104/dsAeI_6r_400x400.jpg
12,2321090268,Dế,cricketssongs,"Hanoi, Vietnam",2183,41,82,https://pbs.twimg.com/profile_images/590188800036372480/RheY5OWB_400x400.jpg
13,1215155138995712000,Bui Architect,HungBui62477921,,301,148,8,https://pbs.twimg.com/profile_images/1215158466135781376/JuTQa0WP_400x400.jpg
14,955281836619415552,LuatVietNam,LuatVietNam_VN,,145,116,26,https://pbs.twimg.com/profile_images/1194516995036741638/t_EI2amG_400x400.jpg
15,3102742250,Trần Ngọc Huyền,tranngochuyen2,,1,4,4,https://pbs.twimg.com/profile_images/1242307783623446528/6Lq1DS-3_400x400.jpg
16,962891449594298368,Giavang.net,GiavangN,"Hanoi, Vietnam",9140,329,157,https://pbs.twimg.com/profile_images/1189364146896113670/IBH0nD1q_400x400.jpg
17,2158122848,For SEOer Pro,ForSEOerPro,Hà Nội,1838,1974,73,https://pbs.twimg.com/profile_images/378800000805050314/eab2e744a44ea3636f4ff4c3526c6ac2_400x400.png
18,3040958010,Qatar Embassy in Hanoi - Vietnam,QatarEmb_Hanoi,,271,68,6647,https://pbs.twimg.com/profile_images/920171004076244992/U3-MMGRx_400x400.jpg
19,1240195661691097088,White bath effective,NguynTh34955623,Hà Nội ,19,6,0,https://pbs.twimg.com/profile_images/1240195957850947584/VTPg0XLW_400x400.jpg
20,872653781455872000,Sri Lanka in Vietnam,SLinVietnam,,248,107,588,https://pbs.twimg.com/profile_images/872656557305024512/TsuZ_Yzi_400x400.jpg
21,1115215873390735361,Lý Thúy,LThy75448724,Hà Nội,59,3,0,https://pbs.twimg.com/profile_images/1115216607553310725/XkaKqxcj_400x400.jpg
22,5533262,Jacob Gadikian,gadikian,,21433,4953,2172,https://pbs.twimg.com/profile_images/1159069669510328320/VjPTfKtU_400x400.jpg
23,1038975522120687617,Xuất Khẩu Lao Động Uy Tín,NinhQmc,,13,47,16,https://pbs.twimg.com/profile_images/1149564407275380738/w8LM6itK_400x400.jpg
24,710064166468341760,VnExpress,vietnamenglish,"Hanoi, Vietnam",11292,762,8959,https://pbs.twimg.com/profile_images/714760714620182528/ONK8oE2Q_400x400.jpg
25,1062163793206079488,phutrinh,phutrinh7,"Hanoi, Vietnam",82,51,15,https://pbs.twimg.com/profile_images/1172774196629295106/WWzWDxHK_400x400.jpg
26,835879134471442433,covid-69,legendarygook,"Hanoi, Vietnam",14020,85,75,https://pbs.twimg.com/profile_images/1234063932794392577/27l1jtAc_400x400.jpg
27,981854105181147136,TRAN KHANH DINH,TRANKHANHDINH1,,1647,1955,73,https://pbs.twimg.com/profile_images/981855047888678914/JHX00UVH_400x400.jpg
28,1240498860918632449,TT,timtroubles,"Hanoi, Vietnam",26,17,8,https://pbs.twimg.com/profile_images/1240510077598982145/pJaykzQY_400x400.jpg
29,861039726957953024,TAHOMA,TAHOMAKAWA,,55,143,19,https://pbs.twimg.com/profile_images/1238709158972538880/lIBo40gG_400x400.jpg
30,1208675679224483840,Mohit- Vietnam 🇻🇳❤️🇮🇳,MohitVietnam,"Hanoi, Vietnam",508,127,36,https://pbs.twimg.com/profile_images/1246832807365632011/wvw_TBpB_400x400.jpg
31,895240955795709952,Dung Phung,thannong_net,,1614,63,7,https://pbs.twimg.com/profile_images/957632822025510913/Kxxt7-K6_400x400.jpg
32,2590943138,Thu Huyen,huyenGEF,,343,114,320,https://pbs.twimg.com/profile_images/893848068155559937/bZmtNR2S_400x400.jpg
33,213932351,Lee Thang,thangleadervn,"Hanoi, Vietnam",1277,488,323,https://pbs.twimg.com/profile_images/1221761071381237764/WODfGjOv_400x400.jpg
34,723087014719983617,Chợ Xe Nâng,choxenang,"Hà Nội, Việt Nam",1004,9,13,https://pbs.twimg.com/profile_images/1007173350236360704/cv-AtJeQ_400x400.jpg
35,1198307137669091329,Maris,Maris10302,"Hà Nội, Việt Nam",4,12,1,https://pbs.twimg.com/profile_images/1232613953475244033/flmSyyxZ_400x400.jpg
36,1244763234,Trương Công Thắng,truongthang888,Hà Nội,11476,919,271,https://pbs.twimg.com/profile_images/925021344663683072/8yK3XyUd_400x400.jpg
37,1231791268469989376,ShopDunk,ThiH04225789,Hà Nội,445,0,3,https://pbs.twimg.com/profile_images/1231791991052095490/6TDcNRL4_400x400.jpg
38,4326137957,Góc Sức Khỏe,gocsuckhoe,"Hà Nội, Việt Nam",27,82,50,https://pbs.twimg.com/profile_images/1118952141689741312/0rj-i1cm_400x400.jpg
39,1080419797488156679,Etienne Mahler,EtienneMahler,"Hanoi, Vietnam",205,141,32,https://pbs.twimg.com/profile_images/1101080270378168320/ZhFKyfxX_400x400.png
