,location,user_id
0,hanoi,1137688540475584512
1,vietnam,1137688540475584512
2,danang,1099450872784797696
3,vietnam,1099450872784797696
4,vietnam,45867144
5,hanoi,1166436232919842816
6,california,41752968
7,usa,41752968
8,vietnam,3286226774
9,hanoi,1232698989205549056
10,vietnam,1232698989205549056
11,u,1186644885111279618
12,hochiminhcity,3106048519
13,vietnam,3106048519
14,hanoi,1170335886652801025
15,browndeer,2709865597
16,wi,2709865597
17,hanoi,1231791268469989376
18,washington,282108981
19,dc,282108981
20,quinhon,942240917771059200
21,binhdinh,942240917771059200
22,vietnam,942240917771059200
23,cchado,1248555513207386113
24,b.orchid1,1248555513207386113
25,q10tphcm,1248555513207386113
26,6khuchao,3263023104
27,hanoi,3263023104
28,vietnam,3263023104
29,hanquoc,1243371932780642305
30,vietnam,1236567707673214976
31,vietnam,585572385
32,tp.hochiminh,1948703270
33,vietnam,1948703270
34,hanoi,2158122848
35,dhaka,1203379772358717440
36,bangladesh,1203379772358717440
37,hanoi,2439868644
38,india,4256431574
39,molandoentwittershire,825817838833254401
40,hanoi,703074853
41,vietnam,299466420
42,hanoivietnam,1169680803116138497
43,vietnam,1157793381210181632
44,lic,3304524289
45,thuathienhue,1237762969007611905
46,vietnam,1237762969007611905
47,sub,142010546
48,saharanafrica,142010546
49,vietnam,1224594183769341958
50,vietnam,1158309150
51,95lynamde,1218720511254908928
52,hoankiem,1218720511254908928
53,thanhphohochiminh,1242816562614198273
54,thaydoichotuonglaixanh!,877866931
55,hanoi,958737088937041920
56,vietnam,958737088937041920
57,beijing,893695809346076672
58,vietnam,1217434028468396033
59,tp.hcm,1232615462241886208
60,santaana,85952089
61,california,85952089
62,vietnam,258213307
63,bacsiyhoccotruyen,1247093307684970496
64,hanoi,951053290476773376
65,vietnam,951053290476773376
66,hanoi,23040987
67,vietnam,963704242316877824
68,vietnam,1470817758
69,vietnam,1215643883213746176
70,lagos,1069571112504344576
71,nigeria,1069571112504344576
72,hospet,1243596934335680515
73,india,1243596934335680515
74,hycuong,1103466379871641600
75,thanhphoviettri,1103466379871641600
76,phutho,1103466379871641600
77,vietnam,1103466379871641600
78,dienminh,2564897306
79,dienban,2564897306
80,quangnam,2564897306
81,http://www.luatsuphaply.com.vn,2339943283
82,hochiminhcity,1232980702313897984
83,vietnam,960851779930939392
84,19anguyenvanbua,1102858637918134274
85,xaxuanthoison,1102858637918134274
86,hocmon,1102858637918134274
87,tphcm,1102858637918134274
88,binhphuocvietnam,1199985315701608449
89,197huynhtanphat,1064736092270673920
90,phuongtanthuandong,1064736092270673920
