id,name,username,bio,location,url,join_date,join_time,tweets,following,followers,likes,media,private,verified,profile_image_url,background_image
1137688540475584512,Jennifer,JenniferNguyn14,Sống tình cảm,"Hà Nội, Việt Nam",,9 Jun 2019,4:51 AM,539,1,15,0,113,0,0,https://pbs.twimg.com/profile_images/1208302047361036289/U7XxlyE2_400x400.jpg,
1099450872784797696,Sinh Nguyen,SinhThienNguyen,E-news from my Twitter @SinhThienNguyen. Please use http://paypal.me/SinhThienNguyen  or PayPal email sinhtnguyen110489@gmail.com to support my work.,"Danang, Vietnam",http://facebook.com/sinhtnguyen110489,23 Feb 2019,3:28 PM,60254,2521,1350,2610,4831,0,0,https://pbs.twimg.com/profile_images/1245639139581550592/tErNZpjN_400x400.jpg,https://pbs.twimg.com/profile_banners/1099450872784797696/1585574454/1500x500
45867144,Zen Nguyen,zennguyen,I never think of the future - it comes soon enough - Albert Einstein,Vietnam,http://zennguyen.com,9 Jun 2009,8:54 AM,10425,26,155,4,77,0,0,https://pbs.twimg.com/profile_images/378800000756330486/da80bfdd345ad722784b5aa986988d2e_400x400.jpeg,https://pbs.twimg.com/profile_banners/45867144/1384765862/1500x500
1198526035345592320,dbx,dbx_shark,,,http://facebook.com/BuiXuanDuyHN,24 Nov 2019,12:57 AM,13,2,0,1,12,0,0,https://pbs.twimg.com/profile_images/1202585456249991168/q8w-vPPE_400x400.jpg,https://pbs.twimg.com/profile_banners/1198526035345592320/1574605332/1500x500
2919129342,Kênh Giải Trí Tổng Hợp,kenhgiaitribigo,😜😜😜,,https://bit.ly/2HoIOCC,4 Dec 2014,6:46 PM,1559,435,103,10,1397,0,0,https://pbs.twimg.com/profile_images/1110489147330850816/NvBIf-Ql_400x400.png,https://pbs.twimg.com/profile_banners/2919129342/1446794434/1500x500
1166436232919842816,Nguyễn Thị Bích Phương ( cô giáo ),cogiaophuong,Thích du lịch,Hanoi,https://damvd.com,27 Aug 2019,12:44 PM,59,20,3863,54,20,0,0,https://pbs.twimg.com/profile_images/1167163601179664384/YNhR--kT_400x400.jpg,
41752968,Nguoi-Viet Online,nguoivietonline,"Nhật báo Người Việt là tờ báo lâu đời nhất của người Việt tại hải ngoại. Mỗi ngày mang đến cho độc giả người Việt ở khắp nơi Tin nhanh, Tin đúng.","California, USA",http://www.nguoi-viet.com,21 May 2009,9:31 PM,49893,263,10404,150,17700,0,0,https://pbs.twimg.com/profile_images/656951043402522624/YHVVPZe-_400x400.png,https://pbs.twimg.com/profile_banners/41752968/1438644198/1500x500
1236507236182065155,Tạp chí Gia Đình Việt Nam,gdvndotnet,,,https://gdvn.net/,7 Mar 2020,8:21 PM,911,53,33,97,841,0,0,https://pbs.twimg.com/profile_images/1237661593028050946/uVtgvEav_400x400.jpg,https://pbs.twimg.com/profile_banners/1236507236182065155/1583916494/1500x500
300582899,Viet Nam Eastsea,cvetran,,,,17 May 2011,5:50 PM,196,346,258,92,48,0,0,https://pbs.twimg.com/profile_images/627398381497745408/UobkgE4q_400x400.jpg,https://pbs.twimg.com/profile_banners/300582899/1444376240/1500x500
1191380723988455425,Thanhletran,Thanhletran1,Vui ve,,,4 Nov 2019,7:44 AM,292,68,16,150,0,0,0,https://pbs.twimg.com/profile_images/1191381201484832768/WCBawfED_400x400.jpg,
3286226774,ViTimes.TODAY,vitimesTODAY,https://vitimes.today/ ,Việt Nam,https://vitimes.today/,20 Jul 2015,11:57 PM,226681,115,149,4120,222000,0,0,https://pbs.twimg.com/profile_images/623386505289953280/hTJGV7ET_400x400.png,https://pbs.twimg.com/profile_banners/3286226774/1580141358/1500x500
1232698989205549056,Vietnam is the best!,tiendatthieu,,"hà nội , Việt Nam",,26 Feb 2020,8:08 AM,53,0,24,58,35,0,0,https://pbs.twimg.com/profile_images/1239211936421564416/QgJ5rADO_400x400.png,https://pbs.twimg.com/profile_banners/1232698989205549056/1582793220/1500x500
1135109843709116416,Thích Chân Thật,Thy63432634,VOV là nhà.,,,2 Jun 2019,2:04 AM,1978,124,1012,2290,845,0,0,https://pbs.twimg.com/profile_images/1142073106430742528/QdJkggDZ_400x400.jpg,https://pbs.twimg.com/profile_banners/1135109843709116416/1559480575/1500x500
878510985299894272,Hoai Uyen,HoaiUyen97,,,,24 Jun 2017,12:11 AM,68,96,7,28,25,0,0,https://pbs.twimg.com/profile_images/1170686044699676673/TJ4j6B8r_400x400.jpg,
956536476874895360,monngonmoingay,monngonmoingay3,,,,25 Jan 2018,6:37 AM,111076,0,236,0,99800,0,0,https://abs.twimg.com/sticky/default_profile_images/default_profile_400x400.png,
67638187,Thuviengiadinh.com,thuviengiadinh,http://Thuviengiadinh.com ,,http://Thuviengiadinh.com,21 Aug 2009,8:44 AM,6147,1698,861,2,436,0,0,https://pbs.twimg.com/profile_images/3754153404/73cab19f31e10c29dd4301975293409f_400x400.jpeg,
754718932146098176,DONGBEN,levandong_ben,Bee Logistics Corp/#DC#HC#RE#HR#OT#FR#Bulk cargo#RORO#AOG#OOG#Worldwide Destination to/from Vietnam#Sale Project#+84.906646724# Donglv@Beelogistics.com,,http://www.Beelogistics.com,17 Jul 2016,9:46 AM,217,100,29,44,195,0,0,https://pbs.twimg.com/profile_images/1246836269407072258/X6TEHLRT_400x400.jpg,https://pbs.twimg.com/profile_banners/754718932146098176/1586625018/1500x500
1186644885111279618,Phuoc Tuy co,tuy_co,,u,,22 Oct 2019,7:06 AM,86,0,1,4,6,0,0,https://pbs.twimg.com/profile_images/1187335304786481152/Iy0NSQVw_400x400.jpg,
1228314136548794369,Good Stock,GoodStock4,Chuyên phân tích cổ phiếu từ cơ bản đến kỹ thuật và nhận định thị trường chứng khoán Việt Nam,,,14 Feb 2020,5:45 AM,10761,5,29,1,6708,0,0,https://pbs.twimg.com/profile_images/1228314402920660993/xLX7P9zr_400x400.jpg,
1186662157380812806,Nguyễn Ngọc Trâm,NguynNg99802502,I want to join Twiter,,,22 Oct 2019,8:14 AM,106,4,0,0,0,0,0,https://pbs.twimg.com/profile_images/1186663172872126464/qEDMZaf9_400x400.jpg,
3106048519,myDomain.vn,mydomainvn,"Mua bán tên miền đẹp, giao dịch domain quốc tế, tên miền Việt Nam ...","Ho Chi Minh City, Vietnam",http://myDomain.vn,23 Mar 2015,10:05 PM,11,503,198,20,6,0,0,https://pbs.twimg.com/profile_images/580234295144374272/r-9C04uS_400x400.png,https://pbs.twimg.com/profile_banners/3106048519/1427173660/1500x500
976656648218411008,Việt Phong,Vietphong92,,,,21 Mar 2018,8:07 PM,2837,61,11,1112,112,0,0,https://pbs.twimg.com/profile_images/976657024090980352/ZUe2Pcjw_400x400.jpg,
1231179737810161665,Linh❤️MewGuft,LD19842419,,,,22 Feb 2020,3:31 AM,2051,133,33,2883,81,0,0,https://pbs.twimg.com/profile_images/1245903727875121153/TyAZP1Ft_400x400.jpg,https://pbs.twimg.com/profile_banners/1231179737810161665/1585881546/1500x500
1016989428202393600,Office: Công ty TNHH TMDV Đầu Tư ĐỊA THẾ VÀNG,diathevang,,,http://diathevang.vn,11 Jul 2018,3:15 AM,71449,2,159,7,69700,0,0,https://pbs.twimg.com/profile_images/1084317915657134080/2qQ4u-f8_400x400.jpg,https://pbs.twimg.com/profile_banners/1016989428202393600/1547357962/1500x500
1045584335682695168,Truyền hình Tây Ninh,TayNinhTV,TAY NINH RADIO AND TELEVISION BROADCASTING,,,28 Sep 2018,1:01 AM,369,26,9,66,341,0,0,https://pbs.twimg.com/profile_images/1119537834216448000/kt2ngnln_400x400.png,https://pbs.twimg.com/profile_banners/1045584335682695168/1572411092/1500x500
1170335886652801025,INKA CRM,inka29493832,Phần mềm INKA CRM Giải pháp tăng trưởng đột phá cho DN Việt.,Hà Nội,https://www.inka.vn,7 Sep 2019,7:00 AM,64,0,0,0,0,0,0,https://pbs.twimg.com/profile_images/1170336217889562624/KSExmA0T_400x400.jpg,https://pbs.twimg.com/profile_banners/1170335886652801025/1568251806/1500x500
998751713149444096,Trương Công Sương,SuongCong,,,,21 May 2018,7:25 PM,1033,26,22,156,978,0,0,https://pbs.twimg.com/profile_images/1200254246626549760/oXG6UFto_400x400.jpg,https://pbs.twimg.com/profile_banners/998751713149444096/1574997889/1500x500
949942483575824384,Vietnews.ru,Vietnewsru_vn,#vietnews #tin_lb_nga #tin_tuc #báoNga #nướcNga #tinLBNga #Liênxô,,https://vn.vietnews.ru,7 Jan 2018,1:55 AM,2411,5,40,21,493,0,0,https://pbs.twimg.com/profile_images/949958161255018496/7JVcsv3c_400x400.jpg,https://pbs.twimg.com/profile_banners/949942483575824384/1515869587/1500x500
