,user_id,name,username,number_tweet,number_following,number_follower,avatar_url
0,1137688540475584512,Jennifer,JenniferNguyn14,539,1,15,https://pbs.twimg.com/profile_images/1208302047361036289/U7XxlyE2_400x400.jpg
1,1099450872784797696,Sinh Nguyen,SinhThienNguyen,60254,2521,1350,https://pbs.twimg.com/profile_images/1245639139581550592/tErNZpjN_400x400.jpg
2,45867144,Zen Nguyen,zennguyen,10425,26,155,https://pbs.twimg.com/profile_images/378800000756330486/da80bfdd345ad722784b5aa986988d2e_400x400.jpeg
3,1166436232919842816,Nguyễn Thị Bích Phương ( cô giáo ),cogiaophuong,59,20,3863,https://pbs.twimg.com/profile_images/1167163601179664384/YNhR--kT_400x400.jpg
4,41752968,Nguoi-Viet Online,nguoivietonline,49893,263,10404,https://pbs.twimg.com/profile_images/656951043402522624/YHVVPZe-_400x400.png
5,3286226774,ViTimes.TODAY,vitimesTODAY,226681,115,149,https://pbs.twimg.com/profile_images/623386505289953280/hTJGV7ET_400x400.png
6,1232698989205549056,Vietnam is the best!,tiendatthieu,53,0,24,https://pbs.twimg.com/profile_images/1239211936421564416/QgJ5rADO_400x400.png
7,1186644885111279618,Phuoc Tuy co,tuy_co,86,0,1,https://pbs.twimg.com/profile_images/1187335304786481152/Iy0NSQVw_400x400.jpg
8,3106048519,myDomain.vn,mydomainvn,11,503,198,https://pbs.twimg.com/profile_images/580234295144374272/r-9C04uS_400x400.png
9,1170335886652801025,INKA CRM,inka29493832,64,0,0,https://pbs.twimg.com/profile_images/1170336217889562624/KSExmA0T_400x400.jpg
10,2709865597,Brown Deer PD,BrownDeerWIPD,4028,724,2490,https://pbs.twimg.com/profile_images/1128653215099174912/22rO_ugp_400x400.png
11,1231791268469989376,ShopDunk,ThiH04225789,522,0,4,https://pbs.twimg.com/profile_images/1231791991052095490/6TDcNRL4_400x400.jpg
12,282108981,DC MOAPIA #StayHomeDC,dcmoapia,7879,891,2282,https://pbs.twimg.com/profile_images/1110201757970374657/tfgR6_dw_400x400.png
13,942240917771059200,LE THAI HAO,HaoleThai,212784,130,222,https://pbs.twimg.com/profile_images/942811246054612993/p1FuWjB__400x400.jpg
14,1218490010401247232,kucasino99,kucasino99,439,19,2,https://pbs.twimg.com/profile_images/1218490127594295297/s7YFTjna_400x400.jpg
15,1248555513207386113,TimelineCoffee&Tea,timelinecoffee,4,187,6,https://pbs.twimg.com/profile_images/1248557973221158913/XlaNJetv_400x400.jpg
16,3263023104,Tân Hoa Xã,XHTanhoaxa,22187,0,52918,https://pbs.twimg.com/profile_images/1246690852753166337/eOI6AfR1_400x400.jpg
17,1243371932780642305,Baby Kook's💜{A.R.M.Y},girlcrazyNTN,21,337,45,https://pbs.twimg.com/profile_images/1243454836206473217/olRf5KEP_400x400.jpg
