,content
0,"Trong nỗ lực ngăn chặn dịch COVID-19 lan rộng tại quê nhà, hãng xe Nhật Bản đã chỉnh sửa những chiếc Toyota Hiace để trở thành xe cứu thương chuyên dụng. #vietnam https://www.youtube.com/watch?v=EowPTWPtzCU …"
1,"Cập nhật Covid-19 ở Việt Nam chiều 3/5: Thêm 1 ca bệnh là chuyên gia người Anh, được cách ly ngay khi nhập cảnh  https://baoquocte.vn/cap-nhat-covid-19-o-viet-nam-chieu-35-them-1-ca-benh-la-chuyen-gia-nguoi-anh-duoc-cach-ly-ngay-khi-nhap-canh-114886.html … – at Highlands Coffee"
2,"“Cuộc chiến” chống Covid-19, 100 ngày nhìn lại  https://baoquocte.vn/cuoc-chien-chong-covid-19-100-ngay-nhin-lai-114877.html … – at Highlands Coffee"
3,Dịch bệnh viêm đường hô hấp cấp (Covid-19) đã cướp đi sinh mạng của 3 thành viên một gia đình ở bang Florida – Mỹ trong vòng vài tuần. #vietnam https://www.youtube.com/watch?v=S3BKEMmSdpE …
4,Chung tay chia sẻ yêu thương cho cộng đồng bởi dịch Covid 19  pic.twitter.com/Esz1lHgcn7
5,"Các số liệu thống kê mới công bố cho thấy, dịch Covid-19 đã khiến thị trường điện thoại di động chứng kiến mức suy giảm tồi tệ nhất trong nhiều năm trở lại đây. #vietnam https://www.youtube.com/watch?v=9iRn7tpklWw …"
6,"ಭಾರತದಲ್ಲಿ Covid-19
03 ಮೇ 2020 - ವರದಿ
For live updates visit👉
 https://varadigara.com/covid-19-india-tracker …
#CoronavirusOutbreak #StayHome #StaySafe pic.twitter.com/mB66huqx5F"
7,Béo phì gây 'bão cytokine' ở bệnh nhân Covid-19  http://dlvr.it/RVwwbn 
8,"Việt Nam ghi nhận thêm một ca dương tính với Covid-19 , đã tiếp xúc với 12 người khác #news  https://www.facebook.com/1846371785587753_2696537043904552 …"
9,"COVID-19: Chiều 3/5, Việt Nam ghi nhận ca bệnh thứ 271 là chuyên gia người Anh: (VOH) – Bệnh nhân thứ 271 là chuyên gia người Anh, vừa nhập cảnh vào Việt Nam ngày 28/4.  https://voh.com.vn/suc-khoe/covid-19-chieu-3-5-viet-nam-ghi-nhan-ca-benh-thu-271-la-chuyen-gia-nguoi-anh-362792.html?utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/I0oNzbcz6O"
10,Covid-19: Tương lai nào cho vụ bang Mỹ kiện Trung Quốc?  https://bit.ly/3bTcSlj 
11,"Số ca nhiễm COVID-19 ở Ai Cập, Algeria và UAE tiếp tục tăng mạnh  https://tinhangngay.vn/so-ca-nhiem-covid-19-o-ai-cap-algeria-va-uae-tiep-tuc-tang-manh/ … pic.twitter.com/tPldyqGJkb"
